"cod_modelo_color","cod_color_code","des_color_specification_esp","des_agrup_color_eng","des_sex","des_age","des_line","des_fabric","des_product_category","des_product_aggregated_family","des_product_family","des_product_type","des_filename"
"57050481-52","52","AZUL","BLUE","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2023_57050481_52.jpg"
"57083807-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57083807_99.jpg"
"57094028-92","92","GRIS","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","Poloshirts","Poloshirt","datathon/images/2023_57094028_92.jpg"
"57004435-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Crossbody bag","datathon/images/2023_57004435_CU.jpg"
"57085982-TM","TM","TEJANO MEDIO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57085982_TM.jpg"
"57015987-30","30","MARRON","BROWN","Female","Adult","SHE","L-PIEL","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57015987_30.jpg"
"57047709-05","05","CRUDO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57047709_05.jpg"
"57097724-PL","PL","PLATA","GREY","Female","Adult","SHE","T-TRICOT","Tops","Tops","Tops","Top","datathon/images/2023_57097724_PL.jpg"
"57043818-37","37","KHAKI","BROWN","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57043818_37.jpg"
"57057734-43","43","VERDE","GREEN","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57057734_43.jpg"
"57057735-92","92","GRIS","GREY","Female","Adult","SHE","P-PLANA","Accesories, Swim and Intimate","Swim and intimate","Intimate","Pyjama","datathon/images/2023_57057735_92.jpg"
"57077749-DI","DI","DIRTY","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57077749_DI.jpg"
"57087123-04","04","MARFIL","WHITE","Female","Adult","SHE","K-CIRCULAR","Bottoms","Trousers & leggings","Leggings and joggers","Leggings","datathon/images/2023_57087123_04.jpg"
"67000456-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2024_67000456_OR.jpg"
"41017020-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_41017020_08.jpg"
"43097754-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Necklace","datathon/images/2019_43097754_99.jpg"
"53070530-07","07","ARENA","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_53070530_07.jpg"
"53080586-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53080586_02.jpg"
"51020639-37","37","KHAKI","BROWN","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2019_51020639_37.jpg"
"53060649-70","70","ROJO","RED","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53060649_70.jpg"
"43077801-05","05","CRUDO","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_43077801_05.jpg"
"53020797-85","85","ROSA","PINK","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53020797_85.jpg"
"53030840-50","50","CELESTE","BLUE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53030840_50.jpg"
"53030663-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53030663_15.jpg"
"53003720-14","14","LIMA","YELLOW","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_53003720_14.jpg"
"51053043-85","85","ROSA","PINK","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_51053043_85.jpg"
"53081016-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Glasses","Glasses","datathon/images/2019_53081016_99.jpg"
"53063757-50","50","CELESTE","BLUE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2019_53063757_50.jpg"
"53047671-06","06","PIEDRA","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2019_53047671_06.jpg"
"51025015-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_51025015_99.jpg"
"51001003-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_51001003_02.jpg"
"51053789-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Tops","Tops","Top","datathon/images/2019_51053789_08.jpg"
"57015905-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_57015905_32.jpg"
"57097877-49","49","BOTELLA","GREEN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57097877_49.jpg"
"57019207-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_57019207_99.jpg"
"57017699-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_57017699_02.jpg"
"57045943-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","Sweaters and Cardigans","Sweatshirts","Sweatshirt","datathon/images/2019_57045943_99.jpg"
"57017900-08","08","BEIGE","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57017900_08.jpg"
"67040169-09","09","CAMEL","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2020_67040169_09.jpg"
"57018266-99","99","NEGRO","GREY","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57018266_99.jpg"
"57000152-52","52","AZUL","BLUE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57000152_52.jpg"
"57064388-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57064388_99.jpg"
"47048647-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_47048647_02.jpg"
"47028650-TN","TN","TEJANO NEGRO","GREY","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_47028650_TN.jpg"
"57025956-35","35","TOPO","BROWN","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57025956_35.jpg"
"57040458-20","20","NARANJA","ORANGE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57040458_20.jpg"
"57082883-68","68","MALVA","PURPLE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57082883_68.jpg"
"57040463-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57040463_99.jpg"
"57013812-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57013812_99.jpg"
"57047712-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2023_57047712_01.jpg"
"57025993-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57025993_05.jpg"
"57086011-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57086011_99.jpg"
"57026311-08","08","BEIGE","WHITE","Unisex","Adult","HOME","P-PLANA","Home","Decor","Deco Textiles","Plaid","datathon/images/2023_57026311_08.jpg"
"57074430-30","30","MARRON","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2023_57074430_30.jpg"
"57014437-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57014437_05.jpg"
"57075810-88","88","FUCSIA","PINK","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57075810_88.jpg"
"57026025-88","88","FUCSIA","PINK","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57026025_88.jpg"
"57037904-TO","TO","TEJANO OSCURO","BLUE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2023_57037904_TO.jpg"
"57015815-01","01","BLANCO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57015815_01.jpg"
"57069085-81","81","ROSA PASTEL","PINK","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Cardigans","Cardigan","datathon/images/2023_57069085_81.jpg"
"53053023-76","76","GRANATE","RED","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53053023_76.jpg"
"53045008-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Puffer coats","Puffer coat","datathon/images/2019_53045008_99.jpg"
"53080547-TO","TO","TEJANO OSCURO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_53080547_TO.jpg"
"53060658-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53060658_01.jpg"
"53073036-37","37","KHAKI","BROWN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53073036_37.jpg"
"51070897-37","37","KHAKI","BROWN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2019_51070897_37.jpg"
"53043738-92","92","GRIS","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Scarf","datathon/images/2019_53043738_92.jpg"
"51063763-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_51063763_99.jpg"
"53093765-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2019_53093765_32.jpg"
"53073765-99","99","NEGRO","GREY","Female","Adult","SHE","O-POLIPIEL","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_53073765_99.jpg"
"53079070-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Puffer coats","Puffer coat","datathon/images/2019_53079070_32.jpg"
"53081123-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53081123_02.jpg"
"53003795-52","52","AZUL","BLUE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53003795_52.jpg"
"57085916-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_57085916_99.jpg"
"53103701-50","50","CELESTE","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2019_53103701_50.jpg"
"53015745-80","80","NUDE","PINK","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_53015745_80.jpg"
"57039210-43","43","VERDE","GREEN","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2019_57039210_43.jpg"
"67050574-30","30","MARRON","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Boots","datathon/images/2020_67050574_30.jpg"
"47054027-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Kerchief","datathon/images/2023_47054027_15.jpg"
"47095840-02","02","OFFWHITE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Shoulder bag","datathon/images/2023_47095840_02.jpg"
"57030003-08","08","BEIGE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Hat","datathon/images/2023_57030003_08.jpg"
"47117159-95","95","ANTRACITA","GREY","Unisex","Adult","HOME","P-PLANA","Home","Bedroom","Bedding","Duvet Covers","datathon/images/2023_47117159_95.jpg"
"57030008-26","26","PEACH","ORANGE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Glasses","Sunglasses","datathon/images/2023_57030008_26.jpg"
"47047834-81","81","ROSA PASTEL","PINK","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Necklace","datathon/images/2023_47047834_81.jpg"
"57050157-TM","TM","TEJANO MEDIO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Shorts","Shorts","datathon/images/2023_57050157_TM.jpg"
"57040259-05","05","CRUDO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Gadgets","Beach Towel","datathon/images/2023_57040259_05.jpg"
"57023778-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Trenchcoats","Trenchcoat","datathon/images/2023_57023778_08.jpg"
"57000426-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57000426_99.jpg"
"57040326-52","52","AZUL","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Tops","Tops","Top","datathon/images/2023_57040326_52.jpg"
"57040453-05","05","CRUDO","WHITE","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57040453_05.jpg"
"57092886-68","68","MALVA","PURPLE","Female","Adult","SHE","K-CIRCULAR","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57092886_68.jpg"
"57075787-70","70","ROJO","RED","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Gloves","datathon/images/2023_57075787_70.jpg"
"57001109-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","Bodysuits","Bodysuit","datathon/images/2023_57001109_99.jpg"
"57096308-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57096308_99.jpg"
"57003821-02","02","OFFWHITE","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57003821_02.jpg"
"57065972-09","09","CAMEL","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57065972_09.jpg"
"57094426-01","01","BLANCO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57094426_01.jpg"
"57071177-06","06","PIEDRA","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57071177_06.jpg"
"57074037-98","98","VISON","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Beauty","Fragance","Fragances","Fragance","datathon/images/2023_57074037_98.jpg"
"57056020-30","30","MARRON","BROWN","Female","Adult","SHE","L-PIEL","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2023_57056020_30.jpg"
"57058272-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2023_57058272_99.jpg"
"57024438-01","01","BLANCO","WHITE","Unisex","Adult","HOME","P-PLANA","Home","Bedroom","Bedding","Duvet Covers","datathon/images/2023_57024438_01.jpg"
"57047762-76","76","GRANATE","RED","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57047762_76.jpg"
"53093022-70","70","ROJO","RED","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53093022_70.jpg"
"43099073-10","10","VAINILLA","YELLOW","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Shorts","Shorts","datathon/images/2019_43099073_10.jpg"
"53050655-28","28","TERRACOTA","ORANGE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2019_53050655_28.jpg"
"53073026-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2019_53073026_02.jpg"
"53083714-31","31","TABACO","BROWN","Female","Adult","SHE","P-PLANA","Tops","Tops","Tops","Top","datathon/images/2019_53083714_31.jpg"
"51060794-74","74","FRESA","RED","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_51060794_74.jpg"
"53070821-TN","TN","TEJANO NEGRO","GREY","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Shorts","Shorts","datathon/images/2019_53070821_TN.jpg"
"53050829-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Ring","datathon/images/2019_53050829_OR.jpg"
"53055711-50","50","CELESTE","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_53055711_50.jpg"
"53083748-43","43","VERDE","GREEN","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53083748_43.jpg"
"53083733-06","06","PIEDRA","WHITE","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53083733_06.jpg"
"53053767-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53053767_02.jpg"
"51093776-37","37","KHAKI","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2019_51093776_37.jpg"
"53055752-99","99","NEGRO","GREY","Female","Adult","SHE","L-PIEL","Outerwear","Jackets and Blazers","Leather jackets","Leather Jacket","datathon/images/2019_53055752_99.jpg"
"53061103-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53061103_99.jpg"
"53063783-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Wallets & cases","Cosmetic bag","datathon/images/2019_53063783_32.jpg"
"53045768-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_53045768_56.jpg"
"57045923-OR","OR","ORO","WHITE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57045923_OR.jpg"
"57007693-52","52","AZUL","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57007693_52.jpg"
"57019211-OR","OR","ORO","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57019211_OR.jpg"
"57059208-85","85","ROSA","PINK","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2019_57059208_85.jpg"
"57018267-56","56","NAVY","BLUE","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57018267_56.jpg"
"47034759-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2023_47034759_99.jpg"
"47067107-08","08","BEIGE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Hat","datathon/images/2023_47067107_08.jpg"
"47025854-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Necklace","datathon/images/2023_47025854_OR.jpg"
"57030010-88","88","FUCSIA","PINK","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Sandals","datathon/images/2023_57030010_88.jpg"
"57000113-46","46","TURQUESA","BLUE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Hairband","datathon/images/2023_57000113_46.jpg"
"57050091-08","08","BEIGE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2023_57050091_08.jpg"
"57040167-TN","TN","TEJANO NEGRO","GREY","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Shorts","Bermudas","datathon/images/2023_57040167_TN.jpg"
"57010256-96","96","GRIS OSCURO VIGORE","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57010256_96.jpg"
"57082878-05","05","CRUDO","WHITE","Female","Adult","SHE","J-JEANS","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57082878_05.jpg"
"57034023-56","56","NAVY","BLUE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Cap","datathon/images/2023_57034023_56.jpg"
"57085975-09","09","CAMEL","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Parkas","Parka","datathon/images/2023_57085975_09.jpg"
"57074036-08","08","BEIGE","WHITE","Female","Adult","SHE","T-TRICOT","Accesories, Swim and Intimate","Swim and intimate","Intimate","Pyjama Trousers","datathon/images/2023_57074036_08.jpg"
"57031178-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Crossbody bag","datathon/images/2023_57031178_99.jpg"
"57005151-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Wallets & cases","Cosmetic bag","datathon/images/2023_57005151_CU.jpg"
"57016018-81","81","ROSA PASTEL","PINK","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57016018_81.jpg"
"57034435-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57034435_05.jpg"
"57076314-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Accesories, Swim and Intimate","Swim and intimate","Intimate","Pyjama Shirt","datathon/images/2023_57076314_08.jpg"
"57145963-98","98","VISON","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Beauty","Fragance","Fragances","Fragance","datathon/images/2023_57145963_98.jpg"
"57069089-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2023_57069089_99.jpg"
"57039105-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Accesories, Swim and Intimate","Swim and intimate","Intimate","Bras","datathon/images/2023_57039105_99.jpg"
"57019100-50","50","CELESTE","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57019100_50.jpg"
"57007762-68","68","MALVA","PURPLE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57007762_68.jpg"
"57078279-05","05","CRUDO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57078279_05.jpg"
"53063699-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Trenchcoats","Trenchcoat","datathon/images/2019_53063699_99.jpg"
"53000673-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Glasses","Glasses","datathon/images/2019_53000673_OR.jpg"
"53003715-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53003715_02.jpg"
"51043731-70","70","ROJO","RED","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2019_51043731_70.jpg"
"53010937-05","05","CRUDO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53010937_05.jpg"
"53023760-02","02","OFFWHITE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_53023760_02.jpg"
"53047671-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2019_53047671_99.jpg"
"53090968-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2019_53090968_08.jpg"
