"cod_outfit","cod_modelo_color"
1132,"53025769-30"
1143,"53033776-OR"
1143,"53040541-TN"
1143,"53003742-TO"
1143,"57065939-02"
1143,"53027016-52"
1144,"53033776-OR"
1144,"53095770-52"
1144,"53035018-08"
1144,"53027023-02"
1144,"53033775-OR"
1224,"53033776-OR"
1224,"53075776-CG"
1224,"53055750-92"
1224,"53083025-02"
1224,"53025026-TM"
1224,"53030755-02"
1224,"53050625-99"
1226,"53033776-OR"
1226,"53020589-99"
1226,"53083725-01"
1226,"53083024-07"
1226,"53030760-OR"
1302,"53033776-OR"
1302,"53020589-99"
1302,"53053760-51"
1302,"53000995-99"
1302,"53095759-49"
1310,"53033776-OR"
1310,"53023748-99"
1310,"53073754-OR"
1310,"53050591-GM"
1310,"53033786-99"
1310,"57054754-99"
1328,"53033776-OR"
1328,"53020588-99"
1328,"53005769-05"
1328,"53080545-07"
1328,"53013788-99"
1328,"53035674-37"
1338,"53033776-OR"
1338,"57055921-02"
1338,"53010582-02"
1338,"53015744-05"
1338,"53035752-82"
1488,"53033776-OR"
1488,"53045763-99"
1488,"53023035-OR"
1488,"53045776-32"
1488,"53045035-99"
1489,"53033776-OR"
1489,"57075781-99"
1489,"53080920-99"
1489,"53045036-02"
1490,"53033776-OR"
1490,"53020588-99"
1490,"53075776-CG"
1490,"57064001-02"
1490,"53045718-06"
1490,"53045707-08"
1497,"53033776-OR"
1497,"53045718-17"
1497,"53065024-30"
1497,"53055708-92"
1497,"57037512-CG"
1508,"53033776-OR"
1508,"53087017-30"
1508,"53023035-OR"
1508,"53043036-09"
1508,"53043777-CU"
1508,"53045768-08"
1509,"53033776-OR"
1509,"53095770-01"
1509,"57095923-CU"
1509,"53043714-09"
1509,"53045768-56"
1515,"53033776-OR"
1515,"53005785-31"
1515,"57075782-CG"
1515,"57064001-02"
1515,"53047019-02"
1520,"53033776-OR"
1520,"53065762-05"
1520,"57005550-05"
1520,"53047671-06"
1521,"53033776-OR"
1521,"57065784-02"
1521,"53110680-99"
1521,"53005032-TN"
1521,"53095751-99"
1521,"53047671-99"
1629,"53033776-OR"
1629,"53093739-99"
1629,"53020588-99"
1629,"53025026-TM"
1629,"53040541-TC"
1629,"53051045-88"
1672,"53033776-OR"
1672,"53053760-51"
1672,"51053735-08"
1672,"53033778-52"
1683,"53033776-OR"
1683,"57075781-99"
1683,"53080920-99"
1683,"57064001-02"
1683,"53053772-02"
1687,"53033776-OR"
1687,"53090733-99"
1687,"51053704-99"
1687,"53053779-99"
1687,"53070610-01"
1694,"53033776-OR"
1694,"57005952-PL"
1694,"51020771-99"
1694,"53053760-51"
1694,"53053793-OR"
1694,"53055031-99"
1694,"57064001-02"
1694,"53083024-07"
1721,"53033776-OR"
1721,"53095770-52"
1721,"51043741-70"
1721,"53045763-99"
1721,"57027691-TO"
1721,"53005739-99"
1721,"53055752-99"
1727,"53033776-OR"
1727,"53065769-99"
1727,"53030680-99"
1727,"53010582-TU"
1727,"53055768-02"
1882,"53033776-OR"
1882,"53065769-99"
1882,"51053704-99"
1882,"53063732-01"
1882,"57064001-37"
1882,"53030587-99"
1883,"53033776-OR"
1883,"51053024-99"
1883,"53020588-99"
1883,"53065769-99"
1883,"53055750-92"
1883,"53063732-99"
1922,"53033776-OR"
1922,"53065762-05"
1922,"53083765-05"
1922,"57005550-05"
1922,"53065725-17"
1933,"53033776-OR"
1933,"57065943-99"
1933,"53000673-OR"
1933,"53005741-56"
1933,"53065744-79"
1942,"53033776-OR"
1942,"53063757-50"
1942,"53020884-01"
1942,"53020610-50"
1942,"53065780-02"
1954,"53033776-OR"
1954,"57006707-99"
1954,"53023772-99"
1954,"51043741-02"
1954,"53005739-99"
1954,"53068813-37"
2078,"53033776-OR"
2078,"53095770-01"
2078,"57095923-CU"
2078,"53073713-02"
2079,"53033776-OR"
2079,"57015932-CU"
2079,"53090733-99"
2079,"53073713-37"
2116,"53033776-OR"
2116,"57055921-02"
2116,"53050690-01"
2116,"57005952-PL"
2116,"53033778-50"
2116,"53033778-52"
2116,"53003800-99"
2116,"53073793-99"
2123,"53033776-OR"
2123,"53073754-OR"
2123,"53005769-05"
2123,"57064001-TM"
2123,"53075708-08"
2123,"53043777-CU"
2123,"57007653-30"
2153,"53033776-OR"
2153,"53005032-TU"
2153,"57075782-CG"
2153,"51073744-99"
2153,"57065939-99"
2153,"53045739-05"
2153,"53077675-02"
2161,"53033776-OR"
2161,"57075781-99"
2161,"53073754-OR"
2161,"53081115-99"
2161,"53080510-99"
2161,"53040541-TO"
2161,"57004005-99"
2218,"53033776-OR"
2218,"57075781-99"
2218,"53075025-05"
2218,"51075762-05"
2218,"53080710-05"
2254,"53033776-OR"
2254,"57075781-99"
2254,"53073754-OR"
2254,"53081057-99"
2254,"53095751-99"
2254,"57045907-99"
2254,"57004005-15"
2285,"53033776-OR"
2285,"53060830-OR"
2285,"51080862-08"
2285,"53073042-28"
2285,"53090667-28"
2285,"53083714-31"
2291,"53033776-OR"
2291,"53013773-99"
2291,"53023035-OR"
2291,"57005553-43"
2291,"53083720-37"
2291,"53093722-99"
2326,"53033776-OR"
2326,"53063732-01"
2326,"57005506-80"
2326,"57064001-02"
2326,"53043777-CU"
2326,"53085030-TM"
2333,"53033776-OR"
2333,"57006707-99"
2333,"53095770-52"
2333,"53013749-99"
2333,"51087668-92"
2333,"53085739-94"
2338,"53033776-OR"
2338,"53095770-52"
2338,"53005774-01"
2338,"53010582-02"
2338,"53085748-PL"
2343,"53033776-OR"
2343,"53043746-32"
2343,"51053024-05"
2343,"57065939-02"
2343,"53085765-OR"
2344,"53033776-OR"
2344,"53073754-OR"
2344,"53013773-99"
2344,"57064001-37"
2344,"57005506-80"
2344,"53023035-OR"
2344,"53085767-37"
2350,"53033776-OR"
2350,"53025026-52"
2350,"53085030-TM"
2350,"57025904-15"
2350,"53085773-02"
2390,"53033776-OR"
2390,"57075781-99"
2390,"53075025-05"
2390,"51075762-05"
2390,"53090593-05"
2431,"53033776-OR"
2431,"53075776-CG"
2431,"53055750-92"
2431,"53083025-02"
2431,"53025026-TM"
2431,"53050625-99"
2431,"53090804-99"
2465,"53033776-OR"
2465,"57064001-TM"
2465,"57005506-80"
2465,"53090591-12"
2465,"53093033-56"
2524,"53033776-OR"
2524,"57034381-33"
2524,"53023750-99"
2524,"53023035-OR"
2524,"53065776-99"
2524,"53095748-37"
2529,"53033776-OR"
2529,"53065769-99"
2529,"53003778-OR"
2529,"53093047-99"
2529,"53053793-OR"
2529,"53033778-50"
2529,"53000995-99"
2529,"53020604-02"
2529,"53095759-49"
2894,"53033776-OR"
2894,"53013773-99"
2894,"53095770-52"
2894,"57064001-02"
2894,"57004386-05"
2935,"53033776-OR"
2935,"53073754-OR"
2935,"53020884-01"
2935,"53080805-92"
2935,"53080510-92"
2935,"57004754-01"
2960,"53033776-OR"
2960,"53073754-OR"
2960,"53093047-99"
2960,"53033761-99"
2960,"53023035-OR"
2960,"57005130-99"
2985,"53033776-OR"
2985,"57085919-99"
2985,"53073754-OR"
2985,"53033786-99"
2985,"53020585-99"
2985,"57005716-99"
3119,"53033776-OR"
3119,"53050690-01"
3119,"53030571-01"
3119,"57006306-05"
3162,"53033776-OR"
3162,"53071028-30"
3162,"53043777-CU"
3162,"53053779-17"
3162,"57007600-81"
3186,"53033776-OR"
3186,"53083725-01"
3186,"57065921-30"
3186,"57065939-02"
3186,"53045736-09"
3186,"57007700-05"
3188,"53033776-OR"
3188,"53083725-01"
3188,"57005506-80"
3188,"57064001-02"
3188,"57007701-35"
3194,"53033776-OR"
3194,"53020588-99"
3194,"53055717-99"
3194,"57007587-99"
3194,"53015024-05"
3194,"57007704-99"
3277,"53033776-OR"
3277,"53090733-99"
3277,"53080670-99"
3277,"53003742-TO"
3277,"57007894-43"
3295,"53033776-OR"
3295,"57075781-99"
3295,"53080920-99"
3295,"57064001-02"
3295,"57008258-05"
3675,"53033776-OR"
3675,"53065769-99"
3675,"57005952-PL"
3675,"53053760-51"
3675,"53033778-52"
3675,"51085026-05"
3675,"57014754-05"
3678,"53033776-OR"
3678,"53073754-OR"
3678,"53073755-08"
3678,"53090667-28"
3678,"53093741-CU"
3678,"57014756-99"
3744,"53033776-OR"
3744,"53000586-TC"
3744,"57065939-02"
3744,"53080510-12"
3744,"57015926-45"
3754,"53033776-OR"
3754,"53073754-OR"
3754,"53003751-99"
3754,"53000591-TU"
3754,"53070567-02"
3754,"57015945-99"
3756,"53033776-OR"
3756,"53080778-99"
3756,"53083780-99"
3756,"57064001-TN"
3756,"57065784-02"
3756,"53033751-99"
3756,"57015946-99"
3764,"53033776-OR"
3764,"57075911-99"
3764,"53083780-99"
3764,"53025026-99"
3764,"57005907-99"
3764,"57015952-08"
3910,"53033776-OR"
3910,"53015772-99"
3910,"57017891-05"
3910,"53041096-OR"
3910,"57025904-15"
3910,"57019028-30"
4112,"53033776-OR"
4112,"57075911-99"
4112,"53060568-99"
4112,"53025026-92"
4112,"53023035-OR"
4112,"57024004-02"
4146,"53033776-OR"
4146,"57075781-99"
4146,"53080920-99"
4146,"53023035-OR"
4146,"53015038-05"
4146,"57025130-76"
4160,"53033776-OR"
4160,"53073754-OR"
4160,"53023028-99"
4160,"53023750-99"
4160,"51035734-30"
4160,"53023035-OR"
4160,"57025784-15"
4161,"53033776-OR"
4161,"57075781-99"
4161,"53095768-99"
4161,"53075025-05"
4161,"57025784-37"
4208,"53033776-OR"
4208,"53060830-OR"
4208,"53023762-99"
4208,"57075781-99"
4208,"57025925-30"
4213,"53033776-OR"
4213,"53073754-OR"
4213,"57065784-02"
4213,"53000674-99"
4213,"57025938-99"
4220,"53033776-OR"
4220,"53065769-99"
4220,"53020686-TM"
4220,"57025943-99"
4280,"53033776-OR"
4280,"57075782-CG"
4280,"53030679-32"
4280,"57027105-69"
4280,"53055767-99"
4282,"53033776-OR"
4282,"53083780-99"
4282,"57006705-99"
4282,"53020667-99"
4282,"57027109-99"
4366,"53033776-OR"
4366,"53095770-01"
4366,"51080862-08"
4366,"57065921-30"
4366,"57029083-09"
4573,"53033776-OR"
4573,"57075781-99"
4573,"53073754-OR"
4573,"53080920-99"
4573,"53023035-OR"
4573,"53091115-99"
4573,"57034384-99"
4611,"53033776-OR"
4611,"53065762-05"
4611,"53090614-02"
4611,"53093769-99"
4611,"57007894-05"
4611,"57035133-30"
4660,"53033776-OR"
4660,"53075779-99"
4660,"53020686-TM"
4660,"53030587-01"
4660,"57035919-43"
4710,"53033776-OR"
4710,"53073754-OR"
4710,"53023028-99"
4710,"53045770-02"
4710,"53023736-TN"
4710,"57036303-99"
4723,"53033776-OR"
4723,"53095768-99"
4723,"51015740-99"
4723,"57065943-99"
4723,"51085029-91"
4723,"57037105-99"
4801,"53033776-OR"
4801,"53005032-05"
4801,"57007653-30"
4801,"57038255-30"
4801,"57005654-79"
4801,"67050574-30"
5314,"53033776-OR"
5314,"53093764-05"
5314,"53083765-05"
5314,"57065939-02"
5314,"57045929-16"
5315,"53033776-OR"
5315,"53065769-99"
5315,"53030680-99"
5315,"53025023-TG"
5315,"57045929-92"
5324,"53033776-OR"
5324,"53095770-01"
5324,"57095923-CU"
5324,"57064001-02"
5324,"57045940-02"
5327,"53033776-OR"
5327,"57015932-CU"
5327,"57065784-02"
5327,"53000586-07"
5327,"57045941-07"
5379,"53033776-OR"
5379,"53083780-99"
5379,"57075782-77"
5379,"53020671-32"
5379,"57047105-69"
5391,"53033776-OR"
5391,"53005785-31"
5391,"53071028-30"
5391,"51005036-CO"
5391,"57047659-28"
5394,"53033776-OR"
5394,"57006707-99"
5394,"57007587-99"
5394,"53055714-99"
5394,"51085752-32"
5394,"57017891-05"
5394,"57047660-99"
5396,"53033776-OR"
5396,"53075713-06"
5396,"57047651-99"
5396,"57055943-99"
5396,"57007704-99"
5396,"57047686-99"
5481,"53033776-OR"
5481,"51013791-02"
5481,"53005748-30"
5481,"57049077-07"
5987,"53033776-OR"
5987,"51065030-05"
5987,"53095770-01"
5987,"57095923-CU"
5987,"57055937-01"
6038,"53033776-OR"
6038,"57075781-99"
6038,"53010573-TN"
6038,"53093767-99"
6038,"57056707-85"
6040,"53033776-OR"
6040,"51023740-02"
6040,"53081057-99"
6040,"53010582-02"
6040,"57037654-43"
6040,"57056709-06"
6168,"53033776-OR"
6168,"53083780-99"
6168,"57039203-99"
6168,"57075782-CG"
6168,"57059205-99"
6273,"53033776-OR"
6273,"53023748-99"
6273,"53073754-OR"
6273,"53050591-GM"
6273,"53061093-99"
6273,"57064002-99"
6480,"53033776-OR"
6480,"53023762-99"
6480,"57065943-99"
6480,"53041017-OR"
6480,"57067105-70"
6486,"53033776-OR"
6486,"53080920-99"
6486,"57047892-94"
6486,"57047651-99"
6486,"57057882-08"
6486,"57067686-99"
6486,"67010585-09"
6799,"53033776-OR"
6799,"53095768-99"
6799,"53005769-05"
6799,"53095770-52"
6799,"53075019-02"
6799,"57075906-92"
6811,"53033776-OR"
6811,"51075736-79"
6811,"53065769-99"
6811,"53063732-99"
6811,"57075924-89"
6812,"53033776-OR"
6812,"53030751-28"
6812,"53003751-99"
6812,"57075925-08"
6813,"53033776-OR"
6813,"53020585-02"
6813,"53003751-99"
6813,"57075925-43"
6815,"53033776-OR"
6815,"51005744-99"
6815,"53083780-99"
6815,"53000625-99"
6815,"57075929-99"
6821,"53033776-OR"
6821,"53060830-OR"
6821,"53095770-01"
6821,"57095923-CU"
6821,"51085028-99"
6821,"57075941-09"
6822,"53033776-OR"
6822,"51065030-05"
6822,"53095770-01"
6822,"57095923-CU"
6822,"57075941-12"
6928,"53033776-OR"
6928,"57075781-99"
6928,"57015932-CU"
6928,"57077880-02"
6928,"53070671-TM"
6952,"53033776-OR"
6952,"53015772-30"
6952,"51035023-05"
6952,"57047651-99"
6952,"53041096-OR"
6952,"57019028-30"
6952,"57079076-09"
7181,"53033776-OR"
7181,"53083780-99"
7181,"57006705-99"
7181,"53085736-99"
7181,"57085915-43"
7504,"53033776-OR"
7504,"57075781-99"
7504,"53023035-OR"
7504,"53040586-TA"
7504,"57094383-99"
7604,"53033776-OR"
7604,"57065943-99"
7604,"53005032-TN"
7604,"53085736-99"
7604,"57095915-05"
7612,"53033776-OR"
7612,"57075911-99"
7612,"51025015-99"
7612,"53013749-99"
7612,"57095925-05"
7622,"53033776-OR"
7622,"57015932-CU"
7622,"53075779-99"
7622,"53010582-01"
7622,"57095937-85"
7835,"53033776-OR"
7835,"53023762-99"
7835,"51025030-30"
7835,"53073754-OR"
7835,"57035910-99"
7835,"57075783-30"
7835,"57955908-43"
241,"53193794-OR"
241,"51070902-99"
241,"53013794-CU"
241,"53073715-99"
241,"53103804-OR"
241,"51043731-70"
241,"57007587-99"
535,"53193794-OR"
535,"53117744-99"
535,"53103804-OR"
535,"51093729-77"
689,"53193794-OR"
689,"53075779-99"
689,"53013794-CU"
689,"53103804-OR"
689,"53040541-05"
689,"53020885-05"
689,"53003729-70"
727,"53193794-OR"
727,"53060830-OR"
727,"53003781-OR"
1067,"53193794-OR"
1067,"53023716-07"
1067,"53013794-CU"
1067,"53023736-05"
1067,"53073772-80"
1067,"53103804-OR"
1232,"53193794-OR"
1232,"53117744-99"
1232,"53073754-OR"
1232,"53073755-79"
1232,"53030802-20"
1232,"53030999-30"
1377,"53193794-OR"
1377,"53073754-OR"
1377,"53040605-CU"
1377,"53093741-CU"
1377,"53050881-17"
1698,"53193794-OR"
1698,"53013794-CU"
1698,"53023770-04"
1698,"53103804-OR"
1698,"53083715-05"
1698,"53055708-09"
1698,"53003728-05"
1786,"53193794-OR"
1786,"53117744-99"
1786,"53073754-OR"
1786,"53010582-TO"
1786,"53040541-TN"
1786,"53060616-57"
2030,"53193794-OR"
2030,"53117744-99"
2030,"53073754-OR"
2030,"51090613-01"
2030,"53080906-41"
2030,"53070887-PL"
2443,"53193794-OR"
2443,"53063037-OR"
2443,"53080805-92"
2443,"53093787-OR"
2443,"53090930-43"
5869,"53193794-OR"
5869,"53050630-09"
5869,"53020589-99"
5869,"53071096-OR"
5869,"53053794-OR"
5869,"57054380-08"
2074,"53050682-70"
2074,"53040712-OR"
2074,"53060830-OR"
2074,"53073709-99"
2074,"53000586-TC"
2074,"53000755-30"
2074,"51090740-99"
2074,"53070745-79"
2010,"53080871-99"
2010,"53033766-OR"
2010,"53030666-26"
2010,"53070735-70"
1013,"53040593-08"
1013,"53060830-OR"
1013,"53020753-08"
1013,"53083773-OR"
1372,"53040593-08"
1372,"53103796-OR"
1372,"53020884-01"
1372,"53033037-02"
1372,"53113783-09"
2015,"53040593-08"
2015,"53050681-OR"
2015,"53023035-OR"
2015,"53070768-99"
2048,"53040593-08"
2048,"53060830-OR"
2048,"53073042-28"
2048,"53071046-28"
2051,"53040593-08"
2051,"53030681-43"
2051,"51030705-05"
2051,"53071097-02"
2051,"53060836-52"
2051,"57030536-CU"
2552,"53050581-11"
2552,"53031097-OR"
2552,"53061096-OR"
2552,"53095015-43"
2552,"53103701-50"
1811,"53040712-OR"
1811,"53060830-OR"
1811,"57095923-CU"
1811,"53073042-28"
1811,"53060740-61"
1010,"53090827-OR"
1010,"53080510-92"
1010,"53020744-28"
1010,"53080528-28"
1595,"53090827-OR"
1595,"43060860-03"
1595,"53050734-12"
1595,"53070567-02"
1628,"53090827-OR"
1628,"53090693-08"
1628,"53030680-99"
1628,"53051043-99"
1834,"53090827-OR"
1834,"53040586-TA"
1834,"53060916-05"
1834,"53090614-31"
1065,"53010582-BL"
1065,"53023748-99"
1065,"53075779-99"
1065,"53103805-OR"
1065,"53023714-99"
6744,"53080544-05"
6744,"53031097-OR"
6744,"51033727-92"
6744,"57005937-OR"
6744,"53087684-32"
6744,"57074753-92"
1129,"53050624-01"
1129,"51053704-99"
1129,"57005952-PL"
1129,"51015766-92"
1129,"53095770-52"
1129,"53025768-02"
1670,"53050624-01"
1670,"53060830-OR"
1670,"51030703-05"
1670,"53073042-28"
1670,"53053756-79"
2335,"53050624-01"
2335,"53030570-02"
2335,"53085740-01"
2494,"53050624-01"
2494,"53075708-08"
2494,"53093777-17"
2494,"57085941-CU"
2536,"53050624-01"
2536,"53095770-01"
2536,"53093787-OR"
2537,"53050624-01"
2537,"53095770-52"
2537,"53093787-OR"
2537,"53095748-92"
3116,"53050624-01"
3116,"53095770-52"
3116,"53025026-52"
3116,"57006303-02"
328,"53117744-99"
328,"53003778-OR"
328,"53103804-OR"
328,"51060638-14"
328,"51070638-14"
1220,"53117744-99"
1220,"53000586-TC"
1220,"53083025-02"
1220,"53030716-26"
1298,"53117744-99"
1298,"53003778-OR"
1298,"53090667-28"
1298,"53033770-37"
1827,"53117744-99"
1827,"53103796-OR"
1827,"53025775-99"
1827,"53060873-56"
671,"53021059-08"
671,"53103798-OR"
671,"53090733-99"
671,"53003718-85"
1102,"53021059-08"
1102,"53050690-01"
1102,"53025025-05"
1102,"53050683-92"
1102,"53103805-OR"
1914,"53021059-08"
1914,"53073754-OR"
1914,"51093712-06"
1914,"53103796-OR"
1914,"53020585-02"
1914,"53063792-99"
1929,"53021059-08"
1929,"53021099-OR"
1929,"53075779-99"
1929,"53013749-99"
1929,"51063787-01"
1929,"53065737-05"
3809,"53021059-08"
3809,"53075779-99"
3809,"57047881-OR"
3809,"53043776-92"
3809,"57016308-85"
3824,"53021059-08"
3824,"53023762-99"
3824,"53003778-OR"
3824,"57065943-99"
3824,"57017687-99"
4148,"53021059-08"
4148,"53073754-OR"
4148,"53021099-OR"
4148,"57005506-80"
4148,"53050734-99"
4148,"57025131-43"
6302,"53021059-08"
6302,"53020749-92"
6302,"53050683-92"
6302,"57005937-OR"
6302,"53071096-OR"
6302,"57064383-08"
6927,"53021059-08"
6927,"53073754-OR"
6927,"53095768-99"
6927,"53065769-99"
6927,"53055714-17"
6927,"57077878-09"
6931,"53021059-08"
6931,"57055921-02"
6931,"57005925-OR"
6931,"53025771-30"
6931,"57077886-08"
248,"53060830-OR"
248,"53013757-OR"
248,"51043739-03"
248,"51043741-99"
248,"57006705-99"
314,"53060830-OR"
314,"53093739-99"
314,"51055033-79"
314,"53030993-02"
314,"53043036-09"
314,"53093782-CU"
524,"53060830-OR"
524,"53023028-99"
524,"53073755-79"
524,"53013757-OR"
524,"51083028-08"
524,"51093028-08"
700,"53060830-OR"
700,"53063757-50"
700,"51061123-01"
700,"53033778-50"
700,"53003738-28"
797,"53060830-OR"
797,"53055714-06"
797,"67040070-OR"
797,"67050548-48"
797,"53010573-TN"
890,"53060830-OR"
890,"53013773-99"
890,"53045763-99"
890,"57085902-18"
981,"53060830-OR"
981,"53033765-OR"
981,"53020606-30"
981,"53080602-20"
983,"53060830-OR"
983,"53020606-99"
983,"53033765-OR"
983,"53080602-20"
1212,"53060830-OR"
1212,"53070721-05"
1212,"53073772-80"
1212,"53000586-TC"
1212,"53030685-70"
1221,"53060830-OR"
1221,"53070721-05"
1221,"53000586-TC"
1221,"53083024-07"
1221,"53030717-02"
1576,"53060830-OR"
1576,"53033779-99"
1576,"53050669-99"
1576,"53070575-45"
1596,"53060830-OR"
1596,"53033765-OR"
1596,"53050734-99"
1596,"53173045-99"
1713,"53060830-OR"
1713,"53015776-07"
1713,"57015902-31"
1713,"53040586-TA"
1713,"53055736-30"
1939,"53060830-OR"
1939,"53083780-99"
1939,"53023028-99"
1939,"57005933-OR"
1939,"53065772-76"
1959,"53060830-OR"
1959,"53030751-28"
1959,"53090592-30"
1959,"53070521-28"
2214,"53060830-OR"
2214,"53071140-23"
2214,"53090574-80"
2214,"53080681-20"
2496,"53060830-OR"
2496,"53093739-99"
2496,"51055033-79"
2496,"53030993-02"
2496,"53043036-09"
2496,"53093782-CU"
2977,"53060830-OR"
2977,"53013773-99"
2977,"57005509-99"
6272,"53060830-OR"
6272,"53191158-46"
6272,"53013757-OR"
6272,"53043749-04"
6272,"53033766-OR"
6272,"53093787-OR"
6272,"57064002-08"
6272,"43069071-02"
6713,"53060830-OR"
6713,"57085919-99"
6713,"53103796-OR"
6713,"57005509-99"
6713,"53023736-TN"
6713,"57074380-99"
721,"51070804-99"
721,"53031097-OR"
721,"53033751-99"
721,"53045763-99"
721,"53003771-90"
721,"57065130-37"
3747,"51053024-99"
3747,"53065769-99"
3747,"53013793-99"
3747,"53021098-OR"
3747,"57047658-99"
3747,"57015928-99"
6405,"51053024-99"
6405,"57005937-OR"
6405,"53020585-99"
6405,"57075936-99"
6405,"57065922-99"
614,"53060682-99"
614,"51013711-02"
614,"53000759-99"
614,"51001003-99"
614,"53030679-32"
876,"53060682-99"
876,"53013741-99"
876,"53013757-OR"
876,"53000586-TC"
876,"53053749-37"
1207,"53060682-99"
1207,"51013711-02"
1207,"53000759-99"
1207,"51001003-99"
1207,"53030679-32"
1802,"53060682-99"
1802,"53013741-99"
1802,"53093787-OR"
1802,"53053749-37"
3871,"53060682-99"
3871,"53073754-OR"
3871,"53065769-99"
3871,"53003723-99"
3871,"57017884-99"
5312,"53060682-99"
5312,"53045763-99"
5312,"57005937-OR"
5312,"57045926-37"
7694,"53060682-99"
7694,"53021099-OR"
7694,"53023770-04"
7694,"57097881-OR"
7694,"57097685-05"
7698,"53060682-99"
7698,"57006707-99"
7698,"53003778-OR"
7698,"57097695-92"
778,"53023762-99"
778,"53075779-99"
778,"57005933-OR"
778,"53000586-TN"
778,"53005780-99"
1109,"53023762-99"
1109,"57075781-99"
1109,"53025032-05"
1109,"53021097-OR"
1109,"57095930-99"
2518,"53023762-99"
2518,"53093047-99"
2518,"57005952-PL"
2518,"53033786-99"
2518,"53095735-43"
3117,"53023762-99"
3117,"53013788-99"
3117,"53025026-52"
3117,"57005933-OR"
3117,"57006303-05"
3157,"53023762-99"
3157,"53021099-OR"
3157,"53023773-99"
3157,"57064001-37"
3157,"53030679-32"
3157,"57007585-07"
4147,"53023762-99"
4147,"53090580-57"
4147,"53073754-OR"
4147,"53021099-OR"
4147,"53010582-TM"
4147,"57025131-15"
5462,"53023762-99"
5462,"57065939-99"
5462,"57037879-OR"
5462,"57027691-TO"
5462,"57048260-52"
5908,"53023762-99"
5908,"57006705-99"
5908,"53021097-OR"
5908,"57054753-99"
7377,"53023762-99"
7377,"53093047-99"
7377,"57005939-OR"
7377,"57089207-99"
7609,"53023762-99"
7609,"57075781-99"
7609,"53063765-99"
7609,"53080778-99"
7609,"53021097-OR"
7609,"57095922-70"
1560,"51003749-99"
1560,"53073754-OR"
1560,"53095768-99"
1560,"53021098-OR"
1560,"53095779-30"
1560,"53050619-99"
469,"51083785-94"
469,"57075781-99"
469,"53103798-OR"
469,"53080920-99"
469,"53050873-TN"
766,"51083785-94"
766,"57005952-PL"
766,"57005506-80"
766,"53033778-50"
766,"53005761-92"
2071,"51083785-94"
2071,"57005937-OR"
2071,"53013792-99"
2071,"53000586-TO"
2071,"57006706-99"
2071,"53073708-65"
4732,"51083785-94"
4732,"53073754-OR"
4732,"53021098-OR"
4732,"53087684-32"
4732,"53041096-OR"
4732,"57037656-37"
670,"53090580-57"
670,"53093777-17"
670,"53003718-70"
670,"53020686-TM"
670,"53025781-99"
1141,"53090580-57"
1141,"53000674-99"
1141,"53025781-99"
1586,"53090580-57"
1586,"53073754-OR"
1586,"53095768-99"
1586,"53021098-OR"
1586,"51053024-05"
1586,"53050722-09"
2311,"51043731-99"
2311,"53013788-99"
2311,"53033779-99"
2311,"53083764-02"
2311,"53100601-BB"
135,"53013741-99"
135,"51025722-99"
135,"53050583-99"
463,"53013741-99"
463,"53023028-99"
463,"51083766-43"
463,"53003779-OR"
374,"53005785-31"
374,"53065769-99"
374,"57015131-99"
374,"51067019-99"
374,"53060712-03"
596,"53005785-31"
596,"53000625-99"
596,"51085724-79"
596,"53035014-99"
596,"53095013-99"
2141,"53005785-31"
2141,"53030812-OR"
2141,"57085938-10"
2141,"53075767-56"
2530,"53005785-31"
2530,"53083725-01"
2530,"53021098-OR"
2530,"57035939-DO"
2530,"57065939-02"
2530,"53095764-06"
3190,"53005785-31"
3190,"57006707-99"
3190,"57005937-OR"
3190,"53010582-02"
3190,"57007702-08"
3319,"53005785-31"
3319,"57015905-32"
3319,"53021098-OR"
3319,"57064001-02"
3319,"57085938-10"
3319,"57009066-02"
4662,"53005785-31"
4662,"53075776-CG"
4662,"53083765-05"
4662,"51093789-30"
4662,"57005939-OR"
4662,"57035920-01"
5404,"53005785-31"
5404,"53021099-OR"
5404,"53095770-01"
5404,"53045718-17"
5404,"53095779-30"
5404,"57047699-09"
6127,"53005785-31"
6127,"53063786-99"
6127,"53021098-OR"
6127,"57057895-99"
2462,"53093027-20"
2462,"53090751-OR"
2462,"53090663-32"
2462,"53050625-28"
549,"53005032-TU"
549,"53090733-99"
549,"53031097-OR"
549,"51015740-99"
549,"51093789-30"
549,"53075713-99"
748,"53005032-TU"
748,"57047881-OR"
748,"53033761-99"
748,"53095751-99"
748,"67050590-99"
3311,"53005032-TU"
3311,"57045924-99"
3311,"57065939-99"
3311,"57037879-OR"
3311,"57008633-50"
4401,"53005032-TU"
4401,"57006707-99"
4401,"53015772-99"
4401,"53083787-OR"
4401,"57029218-61"
5330,"53005032-TU"
5330,"57075781-99"
5330,"53090529-99"
5330,"57045943-99"
6886,"53005032-TU"
6886,"53073754-OR"
6886,"53093047-99"
6886,"53021098-OR"
6886,"53025775-99"
6886,"57077700-02"
110,"57075781-99"
110,"51023700-69"
110,"53003732-99"
110,"53103700-TN"
302,"57075781-99"
302,"53083725-01"
302,"53043746-32"
302,"57005952-PL"
302,"51020771-99"
302,"57005937-OR"
302,"51053735-08"
302,"53087684-32"
365,"57075781-99"
365,"51005038-99"
365,"51065030-05"
365,"57015932-CU"
365,"57065904-30"
406,"57075781-99"
406,"53050683-92"
406,"53103805-OR"
406,"51073741-99"
408,"57075781-99"
